,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Windspeed,Fahrenheit,wind_mph,equator_distance
37461,ru,olenino,56.209167,33.488882000000004,266.451,81,76,3.2,20.21180000000004,7.158208000000001,56.209167
19094,in,raghunathpur,25.633333,87.9,286.651,92,20,1.7,56.571800000000025,3.802798,25.633333
21374,jp,inazawa,35.25,136.783333,279.58,92,80,1.3,43.84399999999997,2.9080220000000003,35.25
23016,mm,myitkyina,25.3833333,97.4,286.18,90,12,0.95,55.72400000000002,2.125093,25.3833333
29974,ph,san pedro,17.2,121.88333300000001,297.65,100,92,2.55,76.36999999999996,5.704197,17.2
5818,cn,anqing,30.509166999999998,117.050556,275.201,98,0,5.5,35.96180000000004,12.303170000000001,30.509166999999998
39044,ru,yagodnoye,62.55,149.666667,240.301,77,12,1.6,-26.858200000000025,3.5791040000000005,62.55
36171,ru,karabanovo,56.316667,38.7,266.001,92,68,3.25,19.40179999999996,7.270055,56.316667
3588,br,parobe,-29.633333,-50.833333,293.451,86,76,1.05,68.81180000000003,2.348787,29.633333
17260,in,bhitarwar,25.8,78.116667,287.801,50,44,1.2,58.641799999999975,2.6843280000000003,25.8
3346,br,marialva,-23.466667,-51.7,294.74,98,92,1.0,71.13200000000002,2.23694,23.466667
39566,si,race,46.451944399999995,15.6813889,279.101,79,0,5.65,42.9818,12.638711000000002,46.451944399999995
42412,us,manteca,37.7975,-121.215,292.04,43,0,1.15,66.27200000000005,2.572481,37.7975
